watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RR,1,50,9,-62.6666666666667,-58,-67,9
31,RR,0,50,1,-61,-61,-61,0
31,RR,1,50,8,-63.375,-57,-70,13
31,RR,0,50,2,-60.5,-57,-64,7
31,RR,1,50,5,-72.4,-70,-74,4
31,RR,1,50,8,-69.625,-68,-73,5
31,RR,1,50,3,-69.3333333333333,-68,-72,4
31,RR,1,50,7,-70.4285714285714,-68,-73,5
31,RR,1,50,4,-70.5,-68,-73,5
31,RR,1,50,9,-74,-72,-78,6
31,RR,1,50,5,-73.6,-72,-76,4
31,RR,1,50,10,-75.4,-73,-81,8
31,RR,0,50,1,-76,-76,-76,0
31,RR,1,50,8,-74.5,-73,-76,3
31,RR,1,50,10,-74.3,-73,-76,3
31,RR,1,50,6,-74,-73,-76,3
31,RR,0,50,2,-73.5,-73,-74,1
31,RR,1,50,8,-73.5,-72,-74,2
31,RR,1,50,10,-73.5,-71,-75,4
31,RR,1,50,10,-76.3,-75,-78,3
31,RR,1,50,4,-75.75,-75,-76,1
31,RR,0,50,1,-76,-76,-76,0
31,RR,1,50,8,-75.875,-74,-82,8
31,RR,1,50,9,-75.1111111111111,-70,-82,12
31,RR,1,50,4,-69.5,-69,-70,1
31,RR,1,50,5,-70.4,-70,-72,2
31,RR,1,50,5,-70,-68,-72,4
31,RR,0,50,1,-70,-70,-70,0
31,RR,1,50,3,-70,-68,-72,4
31,RR,1,50,9,-71,-68,-74,6
31,RR,1,50,8,-70.875,-68,-74,6
31,RR,1,50,8,-71.5,-70,-73,3
31,RR,1,50,3,-71.3333333333333,-70,-72,2
31,RR,1,50,6,-71.8333333333333,-71,-73,2
31,RR,1,50,8,-72.375,-71,-73,2
31,RR,1,50,10,-71.6,-70,-73,3
31,RR,0,50,2,-71.5,-71,-72,1
31,RR,0,50,1,-70,-70,-70,0
31,RR,1,50,5,-72.4,-72,-73,1
31,RR,1,50,8,-72.75,-70,-74,4
31,RR,1,50,10,-73,-72,-74,2
31,RR,1,50,4,-72.75,-72,-74,2
31,RR,0,50,1,-73,-73,-73,0
31,RR,1,50,8,-71,-70,-72,2
31,RR,1,50,8,-71.875,-70,-75,5
31,RR,1,50,6,-72.5,-70,-75,5
31,RR,1,50,7,-72.8571428571429,-71,-75,4
31,RR,1,50,6,-72,-71,-74,3
31,RR,0,50,1,-71,-71,-71,0
31,RR,1,50,3,-70.6666666666667,-70,-72,2
31,RR,1,50,8,-73.125,-70,-79,9
31,RR,1,50,5,-73,-70,-79,9
31,RR,1,50,7,-74.7142857142857,-72,-79,7
31,RR,1,50,10,-73,-70,-78,8
31,RR,1,50,10,-72.3,-70,-76,6
31,RR,1,50,6,-72.6666666666667,-71,-75,4
31,RR,1,50,8,-71.875,-70,-74,4
31,RR,1,50,4,-72.25,-67,-75,8
31,RR,1,50,4,-69,-67,-72,5
31,RR,0,50,1,-70,-70,-70,0
31,RR,1,50,6,-71.1666666666667,-67,-74,7
31,RR,1,50,7,-69.5714285714286,-67,-73,6
31,RR,1,50,7,-70.7142857142857,-69,-73,4
31,RR,1,50,3,-76,-73,-79,6
31,RR,1,50,7,-74,-66,-79,13
31,RR,1,50,5,-69,-62,-79,17
31,RR,1,50,5,-67.2,-62,-79,17
31,RR,1,50,3,-69.3333333333333,-66,-72,6
31,RR,1,50,6,-67.5,-66,-70,4
31,RR,0,50,1,-69,-69,-69,0
31,RR,0,50,2,-71,-67,-75,8
31,RR,1,50,8,-67.5,-63,-72,9
31,RR,1,50,7,-67.8571428571429,-63,-72,9
31,RR,1,50,10,-61.9,-61,-63,2
31,RR,1,50,5,-61.8,-61,-62,1
31,RR,0,50,1,-62,-62,-62,0
31,LL,1,50,5,-76.8,-64,-87,23
31,LL,0,50,1,-75,-75,-75,0
31,LL,1,50,10,-73.9,-71,-79,8
31,LL,1,50,3,-73.6666666666667,-72,-75,3
31,LL,1,50,9,-75,-71,-78,7
31,LL,1,50,4,-75,-73,-77,4
31,LL,1,50,5,-76.2,-73,-78,5
31,LL,1,50,4,-75.25,-72,-77,5
