watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,8,-73.5,-68,-79,11
31,RL,0,50,2,-69,-68,-70,2
31,RL,1,50,3,-72.3333333333333,-71,-73,2
31,RL,1,50,5,-76.2,-73,-80,7
31,RL,0,50,2,-76,-74,-78,4
31,RL,0,50,1,-71,-71,-71,0
31,RL,1,50,6,-72.5,-68,-75,7
31,RL,1,50,4,-72,-68,-75,7
31,RL,1,50,8,-73.375,-71,-76,5
31,RL,1,50,3,-74.6666666666667,-74,-76,2
31,RL,1,50,7,-72.4285714285714,-69,-75,6
31,RL,0,50,2,-71,-71,-71,0
31,RL,1,50,7,-68.8571428571429,-67,-73,6
31,RL,1,50,4,-67.75,-67,-70,3
31,RL,1,50,10,-69.4,-67,-73,6
31,RL,1,50,9,-69.6666666666667,-67,-73,6
31,RL,0,50,2,-67.5,-66,-69,3
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,6,-68.1666666666667,-66,-70,4
31,RL,1,50,7,-68.7142857142857,-66,-70,4
31,RL,1,50,7,-69.1428571428571,-67,-70,3
31,RL,0,50,2,-67,-67,-67,0
31,RL,1,50,4,-69,-68,-70,2
31,RL,1,50,6,-67.5,-66,-70,4
31,RL,1,50,8,-66.75,-66,-68,2
31,RL,1,50,8,-67.375,-66,-70,4
31,RL,1,50,6,-69.6666666666667,-68,-72,4
31,RL,0,50,1,-70,-70,-70,0
31,RL,1,50,4,-70,-70,-70,0
31,RL,1,50,10,-69.1,-68,-71,3
31,RL,1,50,5,-68.6,-68,-71,3
31,RL,1,50,7,-69.2857142857143,-68,-71,3
31,RL,1,50,7,-69.7142857142857,-68,-71,3
31,RL,1,50,6,-69.3333333333333,-68,-70,2
31,RL,1,50,4,-69.25,-68,-70,2
31,RL,0,50,2,-69,-68,-70,2
31,RL,1,50,9,-68.8888888888889,-67,-72,5
31,RL,0,50,2,-70.5,-69,-72,3
31,RL,1,50,4,-68.25,-67,-70,3
31,RL,0,50,1,-70,-70,-70,0
31,RL,1,50,4,-69.5,-67,-71,4
31,RL,1,50,4,-69.5,-68,-70,2
31,RL,1,50,8,-68.5,-67,-70,3
31,RL,0,50,2,-68.5,-67,-70,3
31,RL,0,50,2,-69.5,-67,-72,5
31,RL,1,50,9,-67.4444444444444,-66,-69,3
31,RL,1,50,10,-67.7,-66,-69,3
31,RL,1,50,8,-67.5,-66,-69,3
31,RL,1,50,6,-67.3333333333333,-66,-69,3
31,RL,1,50,9,-67.4444444444444,-66,-69,3
31,RL,1,50,7,-68.2857142857143,-66,-70,4
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,5,-67.8,-67,-69,2
31,RL,1,50,3,-66.3333333333333,-66,-67,1
31,RL,1,50,5,-67,-65,-68,3
31,RL,1,50,9,-68.2222222222222,-66,-70,4
31,RL,1,50,10,-68.2,-66,-72,6
31,RL,1,50,6,-67,-66,-69,3
31,RL,1,50,5,-67.2,-66,-69,3
31,RL,1,50,4,-67,-66,-68,2
31,RL,1,50,8,-67.375,-66,-70,4
31,RL,1,50,3,-66.6666666666667,-66,-68,2
31,RL,1,50,10,-70.5,-67,-76,9
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,5,-71.8,-67,-76,9
31,RL,1,50,9,-71.1111111111111,-68,-73,5
31,RL,1,50,9,-67.7777777777778,-66,-69,3
31,RL,1,50,3,-68,-66,-69,3
31,RL,1,50,3,-65.3333333333333,-65,-66,1
31,RL,0,50,1,-70,-70,-70,0
31,RL,1,50,8,-67.375,-63,-71,8
31,RL,1,50,9,-66.8888888888889,-63,-71,8
