watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RR,1,50,7,-62.7142857142857,-58,-67,9
31,RR,1,50,6,-63.5,-61,-67,6
31,RR,1,50,3,-65,-64,-67,3
31,RR,1,50,9,-63.5555555555556,-62,-65,3
31,RR,1,50,5,-63.2,-62,-64,2
31,RR,1,50,3,-63.3333333333333,-62,-64,2
31,RR,0,50,2,-62,-62,-62,0
31,RR,1,50,6,-63.5,-57,-70,13
31,RR,1,50,7,-65.4285714285714,-57,-70,13
31,RR,0,50,1,-65,-65,-65,0
31,RR,0,50,2,-63.5,-57,-70,13
31,RR,1,50,8,-71.375,-69,-74,5
31,RR,1,50,9,-71.1111111111111,-68,-74,6
31,RR,1,50,5,-71.4,-69,-74,5
31,RR,1,50,6,-71.8333333333333,-68,-74,6
31,RR,1,50,4,-72.5,-71,-74,3
31,RR,0,50,2,-72.5,-71,-74,3
31,RR,1,50,4,-70.75,-68,-74,6
31,RR,1,50,8,-69,-67,-72,5
31,RR,0,50,1,-68,-68,-68,0
31,RR,1,50,7,-68.7142857142857,-67,-72,5
31,RR,1,50,8,-69.125,-67,-73,6
31,RR,1,50,10,-71.9,-68,-75,7
31,RR,1,50,6,-72,-69,-74,5
31,RR,1,50,3,-72,-71,-73,2
31,RR,0,50,2,-71.5,-71,-72,1
31,RR,1,50,8,-73.375,-72,-76,4
31,RR,1,50,6,-73.5,-72,-76,4
31,RR,1,50,7,-74.4285714285714,-72,-78,6
31,RR,1,50,7,-75.8571428571429,-73,-81,8
31,RR,1,50,8,-75.625,-73,-81,8
31,RR,1,50,6,-76.1666666666667,-74,-81,7
31,RR,1,50,5,-75.8,-74,-81,7
31,RR,1,50,3,-77,-74,-81,7
31,RR,1,50,5,-75,-74,-76,2
31,RR,1,50,4,-74.75,-74,-76,2
31,RR,1,50,7,-74.2857142857143,-73,-76,3
31,RR,1,50,6,-74,-73,-76,3
31,RR,1,50,6,-74.1666666666667,-73,-76,3
31,RR,1,50,7,-73.2857142857143,-72,-74,2
31,RR,1,50,3,-74,-74,-74,0
31,RR,1,50,9,-73.3333333333333,-72,-74,2
31,RR,0,50,2,-73,-72,-74,2
31,RR,1,50,4,-72.75,-72,-74,2
31,RR,1,50,6,-73.6666666666667,-73,-74,1
