watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,0,50,2,-62.5,-62,-63,1
31,RL,1,50,10,-71.8,-62,-87,25
31,RL,1,50,3,-77.6666666666667,-74,-84,10
31,RL,1,50,3,-78.6666666666667,-74,-87,13
31,RL,1,50,9,-70.3333333333333,-66,-87,21
31,RL,1,50,5,-71.2,-66,-87,21
31,RL,1,50,8,-68,-66,-72,6
31,RL,0,50,2,-67,-67,-67,0
31,RL,0,50,1,-67,-67,-67,0
31,RL,0,50,2,-66.5,-66,-67,1
31,RL,1,50,3,-67.6666666666667,-67,-68,1
31,RL,1,50,6,-73,-68,-78,10
31,RL,1,50,3,-72,-68,-76,8
31,RL,1,50,10,-74.6,-68,-79,11
31,RL,0,50,1,-76,-76,-76,0
31,RL,1,50,8,-74.75,-68,-79,11
31,RL,1,50,8,-74.125,-68,-79,11
31,RL,1,50,5,-73.6,-68,-79,11
31,RL,1,50,6,-72.3333333333333,-68,-79,11
31,RL,1,50,5,-71,-68,-73,5
31,RL,1,50,6,-71.8333333333333,-68,-73,5
31,RL,1,50,3,-73,-73,-73,0
31,RL,1,50,7,-75.2857142857143,-73,-80,7
31,RL,1,50,7,-75.1428571428571,-72,-80,8
31,RL,1,50,7,-74.1428571428571,-68,-80,12
31,RL,1,50,5,-74.6,-71,-80,9
31,RL,1,50,10,-70.2,-65,-76,11
31,RL,1,50,4,-71.25,-68,-74,6
31,RL,1,50,3,-71,-68,-74,6
31,RL,0,50,1,-68,-68,-68,0
31,RL,0,50,2,-66,-65,-67,2
31,RL,1,50,3,-67.3333333333333,-65,-71,6
31,RL,1,50,4,-70.25,-66,-72,6
31,RL,1,50,9,-72.3333333333333,-68,-75,7
31,RL,0,50,2,-72,-72,-72,0
31,RL,1,50,7,-73.1428571428571,-68,-76,8
31,RL,0,50,2,-72.5,-71,-74,3
31,RL,1,50,9,-73.4444444444444,-71,-76,5
31,RL,1,50,8,-73.25,-71,-76,5
31,RL,1,50,10,-72.3,-67,-75,8
31,RL,1,50,3,-71.6666666666667,-71,-73,2
31,RL,1,50,7,-71.4285714285714,-67,-75,8
31,RL,0,50,2,-74.5,-74,-75,1
31,RL,0,50,2,-72,-69,-75,6
31,RL,1,50,10,-68.8,-67,-75,8
31,RL,1,50,3,-70.3333333333333,-67,-75,8
31,RL,0,50,1,-67,-67,-67,0
31,RL,1,50,4,-69,-67,-71,4
31,RL,1,50,7,-68.2857142857143,-67,-71,4
31,RL,0,50,1,-67,-67,-67,0
31,RL,1,50,3,-70.6666666666667,-69,-73,4
31,RL,1,50,4,-70.5,-69,-73,4
31,RL,1,50,7,-69.4285714285714,-67,-73,6
31,RL,0,50,1,-69,-69,-69,0
31,RL,1,50,5,-69.6,-67,-73,6
31,RL,0,50,1,-68,-68,-68,0
31,RL,1,50,6,-70.8333333333333,-67,-73,6
31,RL,1,50,4,-71.5,-69,-73,4
31,RL,1,50,10,-70.3,-66,-72,6
31,RL,1,50,7,-71,-68,-72,4
31,RL,1,50,6,-70.8333333333333,-68,-72,4
31,RL,1,50,8,-70.125,-66,-72,6
31,RL,1,50,8,-69.875,-66,-72,6
31,RL,1,50,10,-69.9,-66,-72,6
31,RL,1,50,4,-68.5,-66,-71,5
31,RL,1,50,9,-70.4444444444444,-66,-73,7
31,RL,1,50,3,-70.6666666666667,-70,-71,1
31,RL,0,50,2,-70.5,-70,-71,1
31,RL,1,50,5,-71,-70,-73,3
31,RL,0,50,2,-70,-70,-70,0
31,RL,0,50,1,-70,-70,-70,0
31,RL,1,50,6,-69,-66,-73,7
31,RL,1,50,3,-68.3333333333333,-67,-71,4
31,RL,0,50,2,-68,-66,-70,4
31,RL,0,50,1,-70,-70,-70,0
