watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,9,-75,-74,-87,-69,-67,-67,-66,-67,-68,,-71.1111111111111,6.77208321797002,-66,-87,21
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,9,-66,-67,-68,-68,-72,-76,-76,-78,-76,,-71.8888888888889,4.70224532655529,-66,-78,12
31,RL,1,50,6,-76,-76,-78,-76,-78,-79,,,,,-77.1666666666667,1.32916013582513,-76,-79,3
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,9,-72,-74,-71,-68,-67,-65,-66,-71,-72,,-69.5555555555556,3.12694383988229,-65,-74,9
31,RL,1,50,4,-72,-72,-75,-68,,,,,,,-71.75,2.87228132326901,-68,-75,7
31,RL,0,50,2,-74,-75,,,,,,,,,-74.5,0.707106781186548,-74,-75,1
31,RL,1,50,7,-75,-73,-76,-74,-74,-73,-71,,,,-73.7142857142857,1.60356745147455,-71,-76,5
31,RL,0,50,1,-74,,,,,,,,,,-74,0,-74,-74,0
31,RL,1,50,5,-75,-69,-75,-67,-69,,,,,,-71,3.74165738677394,-67,-75,8
31,RL,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RL,1,50,10,-75,-67,-69,-69,-71,-67,-67,-67,-67,-70,-68.9,2.60128173535022,-67,-75,8
31,RL,0,50,1,-71,,,,,,,,,,-71,0,-71,-71,0
31,RL,1,50,9,-67,-67,-67,-67,-70,-73,-69,-69,-71,,-68.8888888888889,2.14734978778752,-67,-73,6
31,RL,1,50,3,-68,-67,-73,,,,,,,,-69.3333333333333,3.21455025366432,-67,-73,6
31,RL,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RL,0,50,2,-70,-70,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,4,-73,-71,-67,-67,,,,,,,-69.5,3,-67,-73,6
31,RL,1,50,3,-70,-70,-69,,,,,,,,-69.6666666666667,0.577350269189626,-69,-70,1
31,RL,0,50,2,-70,-69,,,,,,,,,-69.5,0.707106781186548,-69,-70,1
31,RL,1,50,4,-69,-69,-70,-69,,,,,,,-69.25,0.5,-69,-70,1
31,RL,1,50,7,-67,-67,-67,-68,-70,-67,-68,,,,-67.7142857142857,1.11269728052837,-67,-70,3
31,RL,0,50,1,-66,,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,5,-68,-70,-69,-68,-67,,,,,,-68.4,1.14017542509914,-67,-70,3
31,RL,1,50,4,-71,-70,-70,-70,,,,,,,-70.25,0.5,-70,-71,1
31,RL,1,50,10,-68,-70,-70,-68,-68,-70,-68,-67,-66,-67,-68.2,1.3984117975602,-66,-70,4
31,RL,0,50,2,-70,-68,,,,,,,,,-69,1.4142135623731,-68,-70,2
31,RL,1,50,4,-67,-66,-67,-67,,,,,,,-66.75,0.5,-66,-67,1
31,RL,1,50,5,-68,-68,-70,-71,-67,,,,,,-68.8,1.6431676725155,-67,-71,4
31,RL,1,50,5,-68,-70,-70,-70,-70,,,,,,-69.6,0.894427190999916,-68,-70,2
31,RL,1,50,9,-70,-70,-70,-70,-68,-70,-70,-70,-67,,-69.4444444444444,1.13038833052088,-67,-70,3
31,RL,1,50,4,-68,-69,-69,-68,,,,,,,-68.5,0.577350269189626,-68,-69,1
31,RL,1,50,3,-68,-68,-68,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,9,-68,-71,-71,-69,-70,-70,-69,-68,-70,,-69.5555555555556,1.13038833052088,-68,-71,3
31,RL,1,50,5,-71,-71,-69,-70,-70,,,,,,-70.2,0.836660026534076,-69,-71,2
31,RL,1,50,7,-69,-70,-70,-69,-68,-70,-69,,,,-69.2857142857143,0.755928946018455,-68,-70,2
31,RL,1,50,10,-67,-70,-70,-67,-71,-70,-70,-68,-70,-67,-69,1.56347191994114,-67,-71,4
31,RL,1,50,6,-71,-70,-70,-68,-70,-67,,,,,-69.3333333333333,1.50554530541816,-67,-71,4
31,RL,1,50,8,-70,-70,-68,-70,-67,-67,-70,-69,,,-68.875,1.35620268186054,-67,-70,3
31,RL,0,50,1,-70,,,,,,,,,,-70,0,-70,-70,0
31,RL,1,50,4,-68,-68,-70,-67,,,,,,,-68.25,1.25830573921179,-67,-70,3
31,RL,1,50,7,-68,-70,-67,-72,-67,-67,-67,,,,-68.2857142857143,1.97604704011871,-67,-72,5
31,RL,0,50,1,-67,,,,,,,,,,-67,0,-67,-67,0
31,RL,1,50,3,-68,-68,-67,,,,,,,,-67.6666666666667,0.577350269189626,-67,-68,1
31,RL,0,50,2,-66,-66,,,,,,,,,-66,0,-66,-66,0
31,RL,1,50,9,-67,-68,-68,-70,-67,-66,-70,-69,-67,,-68,1.4142135623731,-66,-70,4
31,RL,1,50,5,-68,-70,-67,-66,-70,,,,,,-68.2,1.78885438199983,-66,-70,4
31,RL,1,50,6,-67,-66,-70,-69,-67,-69,,,,,-68,1.54919333848297,-66,-70,4
31,RL,1,50,7,-70,-69,-67,-69,-67,-67,-67,,,,-68,1.29099444873581,-67,-70,3
31,RL,1,50,5,-67,-69,-67,-67,-67,,,,,,-67.4,0.894427190999916,-67,-69,2
31,RL,1,50,7,-67,-67,-66,-66,-68,-68,-70,,,,-67.4285714285714,1.39727626201154,-66,-70,4
31,RL,1,50,9,-67,-66,-66,-68,-68,-70,-68,-65,-65,,-67,1.6583123951777,-65,-70,5
31,RL,1,50,5,-70,-68,-65,-65,-67,,,,,,-67,2.12132034355964,-65,-70,5
31,RL,1,50,7,-70,-70,-69,-66,-68,-68,-67,,,,-68.2857142857143,1.49602648308619,-66,-70,4
31,RL,1,50,7,-70,-69,-66,-68,-68,-67,-72,,,,-68.5714285714286,1.98805959477601,-66,-72,6
31,RL,1,50,8,-68,-66,-66,-68,-66,-66,-70,-70,,,-67.5,1.77281052085584,-66,-70,4
31,RL,1,50,10,-66,-66,-68,-66,-66,-70,-70,-67,-67,-68,-67.4,1.57762127549323,-66,-70,4
31,RL,1,50,5,-66,-68,-66,-66,-70,,,,,,-67.2,1.78885438199983,-66,-70,4
31,RL,1,50,6,-68,-66,-66,-70,-70,-67,,,,,-67.8333333333333,1.83484785926972,-66,-70,4
31,RL,1,50,4,-68,-68,-69,-69,,,,,,,-68.5,0.577350269189626,-68,-69,1
