watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RR,1,50,4,-61,-58,-61,-61,,,,,,,-60.25,1.5,-58,-61,3
31,RR,0,50,1,-58,,,,,,,,,,-58,0,-58,-58,0
31,RR,0,50,1,-64,,,,,,,,,,-64,0,-64,-64,0
31,RR,1,50,8,-64,-64,-64,-62,-62,-63,-65,-64,,,-63.5,1.0690449676497,-62,-65,3
31,RR,1,50,3,-64,-64,-62,,,,,,,,-63.3333333333333,1.15470053837925,-62,-64,2
31,RR,1,50,3,-64,-62,-62,,,,,,,,-62.6666666666667,1.15470053837925,-62,-64,2
31,RR,1,50,6,-62,-62,-63,-65,-64,-57,,,,,-62.1666666666667,2.78687399547713,-57,-65,8
31,RR,1,50,8,-62,-63,-65,-64,-57,-70,-70,-69,,,-65,4.53557367611073,-57,-70,13
31,RR,1,50,5,-65,-64,-57,-70,-70,,,,,,-65.2,5.35723809439155,-57,-70,13
31,RR,1,50,5,-64,-57,-70,-70,-69,,,,,,-66,5.61248608016091,-57,-70,13
31,RR,1,50,6,-57,-70,-70,-69,-70,-73,,,,,-68.1666666666667,5.63619256827396,-57,-73,16
31,RR,1,50,8,-70,-70,-69,-70,-73,-74,-71,-74,,,-71.375,1.99553072067128,-69,-74,5
31,RR,1,50,3,-70,-69,-70,,,,,,,,-69.6666666666667,0.577350269189626,-69,-70,1
31,RR,1,50,9,-69,-70,-73,-74,-71,-74,-71,-68,-70,,-71.1111111111111,2.14734978778752,-68,-74,6
31,RR,1,50,8,-70,-73,-74,-71,-74,-71,-68,-70,,,-71.375,2.13390989232709,-68,-74,6
31,RR,0,50,2,-74,-71,,,,,,,,,-72.5,2.12132034355964,-71,-74,3
31,RR,1,50,7,-71,-74,-71,-68,-70,-67,-68,,,,-69.8571428571429,2.41029537806548,-67,-74,7
31,RR,1,50,4,-71,-68,-70,-67,,,,,,,-69,1.82574185835055,-67,-71,4
31,RR,1,50,10,-70,-67,-68,-68,-68,-72,-68,-69,-73,-71,-69.4,2.01108041719978,-67,-73,6
31,RR,1,50,10,-67,-68,-68,-68,-72,-68,-69,-73,-71,-72,-69.6,2.17050941281329,-67,-73,6
31,RR,1,50,6,-68,-68,-68,-72,-68,-69,,,,,-68.8333333333333,1.60208197875972,-68,-72,4
31,RR,1,50,7,-68,-68,-72,-68,-69,-73,-71,,,,-69.8571428571429,2.11570094204982,-68,-73,5
31,RR,1,50,4,-68,-72,-68,-69,,,,,,,-69.25,1.89296944860009,-68,-72,4
31,RR,0,50,1,-72,,,,,,,,,,-72,0,-72,-72,0
31,RR,1,50,3,-68,-69,-73,,,,,,,,-70,2.64575131106459,-68,-73,5
31,RR,0,50,1,-69,,,,,,,,,,-69,0,-69,-69,0
31,RR,1,50,10,-73,-71,-72,-74,-73,-72,-72,-75,-73,-76,-73.1,1.52388392675499,-71,-76,5
31,RR,1,50,5,-71,-72,-74,-73,-72,,,,,,-72.4,1.14017542509914,-71,-74,3
31,RR,1,50,8,-74,-73,-72,-72,-75,-73,-76,-73,,,-73.5,1.4142135623731,-72,-76,4
31,RR,1,50,5,-73,-72,-72,-75,-73,,,,,,-73,1.22474487139159,-72,-75,3
31,RR,1,50,5,-72,-72,-75,-73,-76,,,,,,-73.6,1.81659021245849,-72,-76,4
31,RR,1,50,9,-72,-75,-73,-76,-73,-78,-74,-81,-76,,-75.3333333333333,2.82842712474619,-72,-81,9
31,RR,1,50,6,-75,-73,-76,-73,-78,-74,,,,,-74.8333333333333,1.94079021706795,-73,-78,5
31,RR,1,50,5,-73,-76,-73,-78,-74,,,,,,-74.8,2.16794833886788,-73,-78,5
31,RR,1,50,4,-76,-73,-78,-74,,,,,,,-75.25,2.21735578260835,-73,-78,5
31,RR,1,50,4,-73,-78,-74,-81,,,,,,,-76.5,3.69684550213647,-73,-81,8
31,RR,1,50,8,-78,-74,-81,-76,-74,-74,-75,-76,,,-76,2.44948974278318,-74,-81,7
31,RR,1,50,7,-74,-81,-76,-74,-74,-75,-76,,,,-75.7142857142857,2.49761791275112,-74,-81,7
31,RR,1,50,6,-81,-76,-74,-74,-75,-76,,,,,-76,2.60768096208106,-74,-81,7
31,RR,1,50,9,-76,-74,-74,-75,-76,-74,-73,-76,-74,,-74.6666666666667,1.11803398874989,-73,-76,3
31,RR,0,50,1,-74,,,,,,,,,,-74,0,-74,-74,0
31,RR,1,50,9,-74,-75,-76,-74,-73,-76,-74,-73,-74,,-74.3333333333333,1.11803398874989,-73,-76,3
31,RR,0,50,1,-76,,,,,,,,,,-76,0,-76,-76,0
31,RR,1,50,10,-74,-73,-76,-74,-73,-74,-74,-74,-72,-72,-73.6,1.17378779077727,-72,-76,4
31,RR,1,50,9,-73,-76,-74,-73,-74,-74,-74,-72,-72,,-73.5555555555556,1.23603308118261,-72,-76,4
31,RR,1,50,4,-73,-74,-74,-74,,,,,,,-73.75,0.5,-73,-74,1
31,RR,1,50,4,-74,-74,-74,-72,,,,,,,-73.5,1,-72,-74,2
31,RR,1,50,6,-74,-74,-72,-72,-74,-73,,,,,-73.1666666666667,0.983192080250175,-72,-74,2
31,RR,1,50,9,-74,-72,-72,-74,-73,-74,-74,-73,-74,,-73.3333333333333,0.866025403784439,-72,-74,2
31,RR,1,50,5,-72,-72,-74,-73,-74,,,,,,-73,1,-72,-74,2
31,RR,1,50,10,-72,-74,-73,-74,-74,-73,-74,-74,-74,-74,-73.6,0.699205898780101,-72,-74,2
31,RR,1,50,4,-74,-73,-74,-74,,,,,,,-73.75,0.5,-73,-74,1
31,RR,1,50,9,-73,-74,-74,-73,-74,-74,-74,-74,-74,,-73.7777777777778,0.440958551844098,-73,-74,1
31,RR,0,50,1,-74,,,,,,,,,,-74,0,-74,-74,0
31,RR,1,50,4,-73,-74,-74,-74,,,,,,,-73.75,0.5,-73,-74,1
31,RR,1,50,3,-74,-74,-74,,,,,,,,-74,0,-74,-74,0
31,RR,1,50,7,-74,-74,-74,-74,-71,-75,-74,,,,-73.7142857142857,1.25356634105602,-71,-75,4
31,RR,1,50,10,-74,-74,-74,-71,-75,-74,-74,-74,-73,-73,-73.6,1.07496769977314,-71,-75,4
31,RR,1,50,6,-74,-74,-71,-75,-74,-74,,,,,-73.6666666666667,1.36626010212795,-71,-75,4
