watch,combination,risk,dist,samples,rawRSS_1,rawRSS_2,rawRSS_3,rawRSS_4,rawRSS_5,rawRSS_6,rawRSS_7,rawRSS_8,rawRSS_9,rawRSS_10,meanRSS,stdRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,5,-63,-62,-84,-75,-74,,,,,,-71.6,9.18150314491042,-62,-84,22
31,RL,1,50,6,-62,-84,-75,-74,-87,-69,,,,,-75.1666666666667,9.28260021042955,-62,-87,25
31,RL,1,50,8,-84,-75,-74,-87,-69,-67,-67,-66,,,-73.625,8.07000619578449,-66,-87,21
31,RL,1,50,7,-74,-87,-69,-67,-67,-66,-67,,,,-71,7.54983443527075,-66,-87,21
31,RL,1,50,5,-87,-69,-67,-67,-66,,,,,,-71.2,8.8994381845148,-66,-87,21
31,RL,1,50,3,-69,-67,-67,,,,,,,,-67.6666666666667,1.15470053837925,-67,-69,2
31,RL,1,50,8,-67,-66,-67,-68,-68,-72,-76,-76,,,-70,4.1057451037714,-66,-76,10
31,RL,1,50,7,-67,-68,-68,-72,-76,-76,-78,,,,-72.1428571428571,4.56174569759471,-67,-78,11
31,RL,1,50,6,-68,-68,-72,-76,-76,-78,,,,,-73,4.33589667773576,-68,-78,10
31,RL,0,50,2,-68,-72,,,,,,,,,-70,2.82842712474619,-68,-72,4
31,RL,1,50,3,-72,-76,-76,,,,,,,,-74.6666666666667,2.3094010767585,-72,-76,4
31,RL,1,50,4,-76,-78,-76,-78,,,,,,,-77,1.15470053837925,-76,-78,2
31,RL,0,50,2,-78,-76,,,,,,,,,-77,1.4142135623731,-76,-78,2
31,RL,1,50,10,-76,-78,-79,-73,-70,-68,-71,-73,-73,-73,-73.4,3.43834585552737,-68,-79,11
31,RL,1,50,9,-78,-79,-73,-70,-68,-71,-73,-73,-73,,-73.1111111111111,3.51583718495483,-68,-79,11
31,RL,1,50,7,-79,-73,-70,-68,-71,-73,-73,,,,-72.4285714285714,3.45722156541651,-68,-79,11
31,RL,1,50,5,-73,-70,-68,-71,-73,,,,,,-71,2.12132034355964,-68,-73,5
31,RL,0,50,1,-68,,,,,,,,,,-68,0,-68,-68,0
31,RL,1,50,3,-71,-73,-73,,,,,,,,-72.3333333333333,1.15470053837925,-71,-73,2
31,RL,0,50,2,-73,-73,,,,,,,,,-73,0,-73,-73,0
31,RL,1,50,7,-73,-73,-73,-74,-78,-80,-76,,,,-75.2857142857143,2.81154084173819,-73,-80,7
31,RL,0,50,2,-73,-73,,,,,,,,,-73,0,-73,-73,0
31,RL,1,50,8,-73,-74,-78,-80,-76,-72,-74,-71,,,-74.75,3.05894472933769,-71,-80,9
31,RL,1,50,3,-74,-78,-80,,,,,,,,-77.3333333333333,3.05505046330389,-74,-80,6
31,RL,1,50,5,-78,-80,-76,-72,-74,,,,,,-76,3.16227766016838,-72,-80,8
31,RL,1,50,3,-80,-76,-72,,,,,,,,-76,4,-72,-80,8
31,RL,1,50,8,-76,-72,-74,-71,-68,-67,-65,-66,,,-69.875,3.97986001189561,-65,-76,11
31,RL,1,50,4,-74,-71,-68,-67,,,,,,,-70,3.16227766016838,-67,-74,7
